i,t,V(t)
1,0.9775276189055372,0.0
1,1.275791319079762,0.0
1,1.9526357338024982,0.007558682613044709
1,2.989058511698452,0.0
1,3.080173815269987,0.42466718233018685
1,3.4584426394279646,1.580089351249779
1,3.8394523554007045,1.6075452774954944
1,4.122530263045828,2.7403817684127554
1,4.772716172591617,4.267187586682941
1,5.832499153941674,5.4776149172735
1,6.110701004671905,5.81853394694029
1,6.337844853104147,6.316225581491015
1,7.48378102409285,5.318896188998474
1,7.538382133148304,5.369803907068232
1,11.319148987600272,3.5192185866227756
1,13.137143467755688,3.243176460252437
1,13.647125639115961,2.8745960599693987
1,13.808569404922109,4.049785223170242
1,13.901283630681926,4.225660729256424
1,14.947099795788148,4.3603267454726184
1,15.764150748659787,4.003080935903349
2,1.409955743434959,0.0
2,2.1473799579943815,0.06537388955582824
2,3.1023860716548786,0.0
2,3.993111133336733,0.0
2,4.6432538690773555,0.6767515276281415
2,5.512684229519225,0.9122409720300437
2,6.064248725459101,2.2878748094874886
2,7.862981103299374,0.9240563934003436
2,9.709161193559853,0.0
2,10.91969193276932,0.0
2,12.847903566306394,0.0
2,13.422153349526322,0.18876645385093482
2,14.096146153119713,0.0
2,15.01586836842047,0.0
3,0.8856702348136973,0.0
3,0.9782799241500015,3.0581463154182433
3,1.4245513618121932,3.2041512625809596
3,2.6198549324690026,3.230702417609737
3,3.0092643097484943,3.2179685836453524
3,3.3510412905506284,3.2147541904414276
3,3.636937599362768,3.1707281418072437
3,3.959667312554233,3.3550092031709373
3,5.168055750124431,4.109369305121815
3,5.446209152700073,5.154628771767603
3,6.194451041706987,4.6747784009685605
3,9.710832817470756,5.696910886403319
3,11.49612348534952,4.493447740951631
3,12.285422504359362,5.296023504056183
3,12.415598628055266,7.898125126494569
3,13.390485517184922,7.027231586568738
3,13.88700342356708,9.058310606410178
3,14.043021978047403,10.081535085139388
3,15.73632025356572,10.209524151297993
4,0.4506667041725964,0.0
4,2.0980986474060934,0.0
4,2.4129476166146424,0.03121048320041453
4,4.077404127625739,0.0
4,4.668001548761066,0.05211870591651291
4,5.0428898884392686,3.632043307436443
4,5.6178616469045055,6.121871569607142
4,5.7794502099945495,6.559992610588996
4,6.239991348633942,7.239225766048166
4,7.323534312819809,6.469519430127058
4,7.622886993076957,7.081470607285415
4,8.234524118567881,7.7046344636217
4,9.699273457922663,6.31324299951134
4,12.880875021788638,6.598796044464078
4,14.716317604620961,6.625971824114101
4,15.110788173796706,8.028263800317742
4,15.327151140489262,8.429989926973793
5,0.5828649433902672,0.0
5,1.115439192650395,2.6421492588061533
5,2.1219648165126137,1.9556027941440077
5,3.5697266438262636,0.8050969444729058
5,3.9621076368296144,4.185923285647703
5,4.214495692288891,4.9258715572715825
5,4.2338202762760515,9.233559945330322
5,4.6789056189893135,10.001813326924001
5,5.841390513532229,10.00998126690792
5,7.859479954918566,8.640873356708688
5,9.952503293600449,8.224883076389627
5,10.093914670973673,8.595446877062734
5,12.48024232638632,8.300970669253141
5,14.088591756006608,6.820677044772735
5,14.794346480868162,6.1984109039261055
6,1.5612420619844074,0.0
6,2.6990166843250667,0.0
6,3.2360633531023315,0.2689205207155436
6,3.7297900715598673,3.3611267039177846
6,4.7857353883047935,2.4798894415796644
6,5.126097048433438,2.327493100487767
6,5.837949821006725,1.6960450499213036
6,6.700734253765696,0.933857312853457
6,8.416189581259989,0.6227201995206642
6,9.487767952416055,0.0
6,11.819133195078743,0.0
6,14.377364174115389,0.0
7,1.56944057291649,0.0
7,1.9475563173434756,1.6717143189461914
7,2.6953612486228096,1.0200480895327955
7,3.1882964183659883,0.8259731548777753
7,3.6976888428279637,2.0048089890064973
7,4.419825557200463,1.3667712511120427
7,5.153687551049975,3.512710638983291
7,6.018045403630737,5.466550114706939
7,8.045962733911523,3.6729029222314815
7,11.45419455107486,0.31529303724957775
7,11.975729208659686,3.1200554326797114
7,12.816830743466808,3.036293372049688
7,13.251828113966104,4.329463186409619
7,15.037041481436995,3.561340280646108
7,15.73071312155298,3.708582016089863
7,15.929694742411431,4.422507685226693
8,1.4506117583759832,0.0
8,1.6382020046395016,0.5105425025086829
8,1.7145019463237838,4.0815353854902625
8,3.023700902089952,3.4060876863970897
8,3.5109836142424515,3.765060728129076
8,5.408634774010403,2.7848544968575535
8,5.5828558431104955,2.8319201077386422
8,6.071234861338842,2.4135093279653224
8,7.735732942583625,2.605368652915599
8,9.189321082691379,3.1466132076417126
8,9.981483779786991,3.6289747750856547
8,12.85482526540036,1.233975727606294
8,13.914156894419994,1.7242297662545851
8,14.13609914481317,1.8153625468301327
8,14.684974806837776,3.736216466405387
8,15.68404854584168,3.9792071573192302
9,0.14070802121429962,0.0
9,1.1721918408441117,0.0
9,2.672004282685538,0.08103382522721025
9,3.2169094467253245,0.3286913298421186
9,3.4989262335262414,0.11394180575264358
9,5.764512090001137,0.0
9,7.435332822862264,0.0
9,8.748441284892905,0.5037800025397416
9,10.016350912841874,0.0
9,11.272429282287032,0.0
9,14.551655193543809,0.0
9,15.188964064314222,0.0
9,15.980681344883877,0.4970214641316595
10,0.6518368266993315,0.0
10,0.9998902707199973,0.00296234782814242
10,1.7870866208814147,0.0
10,2.0823657581175463,0.4653096728283628
10,4.155341656250833,0.0
10,6.03310805886308,0.0
10,6.291344723095816,0.47918723333318614
10,6.803172894361452,1.217754672068403
10,8.004570163414163,0.12630780008825682
10,9.453328065112542,0.3354897438395419
10,11.828357349568053,0.0
10,12.808892244008609,5.133773858145309
10,13.229516782627076,6.7282533116327485
10,14.118266187346318,7.315552579621549
10,14.616041423423086,8.313464154723496
10,15.81203576150148,7.3987446976115745
11,1.0752054379889455,0.0
11,1.1350407725110006,0.5177146563663513
11,1.8649909616297824,0.5578853468468223
11,2.6795118040289467,0.6815787055883522
11,3.1789492780544717,0.18590992946942975
11,4.06905842544267,1.5673483119908234
11,4.330149672010821,1.472188955226315
11,4.47343844342767,3.021164537123414
11,5.4470611154510244,3.6326085035036946
11,5.678160704875948,3.5576979852903166
11,10.870696517684928,0.0
11,11.089220659806225,1.6245017973927762
11,13.115471743786495,1.0124360762182363
11,13.489258423751686,1.5602695179644344
11,13.675064478450725,2.6617334398396135
