i,t,V(t)
1,0.5565293548188023,0.0
1,0.802632500338653,2.8880682386595957
1,1.013129016928536,2.7483786152587655
1,1.276360977442298,2.8326468121339814
1,1.386223792813715,3.523684318463535
1,1.4247557855266206,6.5481822681830035
1,1.6795734063315435,6.809147133279803
1,2.4526485677084064,6.182262473516159
1,4.172448925613606,4.669578394432657
1,5.045606737898458,4.46105006972772
1,5.4529898540486315,5.502796442175962
1,6.136089794069552,4.8345821263206314
1,8.640399731222075,3.0551076721510735
1,14.162419634562642,0.0
1,15.414260332681533,0.4380152640362045
2,0.41132981847074174,0.0
2,1.5116640423286776,0.0
2,1.6478765019569679,0.7556591154204544
2,4.732342276484014,0.0
2,4.850723619078184,2.2460023517065526
2,6.678018826901417,1.7456014072520827
2,7.419248955131156,3.4790570152887685
2,7.778916842247585,3.183844745433593
2,8.603092718516823,2.837149318900404
2,9.59449539570494,2.5214395362439803
2,11.590079757255094,1.071991081775127
2,14.219832714514338,0.0
2,14.913027012821797,0.0
3,0.38754514330391787,0.0
3,0.40617657187596573,0.42882426182156813
3,0.6339751814240073,0.43041300599511484
3,0.878076957983602,0.4228463295127466
3,1.3220136547433508,2.410584933148079
3,2.0789314509442924,2.0303426802622444
3,2.4097871211080175,3.3685088260660923
3,2.502814144253385,3.4405880029014417
3,3.7959883284897047,3.1972986846988483
3,4.0907088244297665,3.1044940388890216
3,5.001269072799701,4.156682330040162
3,5.172037119425395,4.074355557290574
3,5.395696717931955,4.241159245284134
3,6.477503800639179,3.669786978320799
3,6.705956240746948,7.979848799411557
3,7.856087242280068,7.96908609751282
3,8.078286237461189,8.958749035294574
3,10.20235046833684,7.829623371951954
3,10.679113114295589,8.59280190989518
3,10.867620316360828,9.996169489944336
3,11.020900676621743,10.598797189575802
3,15.468927022986167,6.392414793581345
4,0.2070411568624269,0.0
4,1.665064789422705,0.0
4,2.4673483153385463,0.0
4,3.314198482746424,0.0
4,8.010936532817365,0.0
4,8.533006768906054,1.829288048002903
4,9.711776007612183,1.7377755442998293
4,10.028837566432149,1.7770040067702957
4,11.629778588767063,0.5114173977262744
4,11.732535686891586,0.41186627326614866
4,14.208639792041907,0.0
4,14.275272029998543,0.8446716194588682
4,14.467204718420506,1.5215465049973398
4,14.860347114485943,1.2177953123249128
4,15.386333208716497,0.7839758483273229
4,15.912004739202443,0.3316621930857997
5,1.1740026217106558,0.0
5,1.5583364868391496,0.0
5,2.306385593445629,0.0
5,2.4294545008302726,0.07818981188817142
5,3.1506291791108247,0.0
5,6.77003374739495,0.0
5,9.258414249030926,1.284826832542171
5,10.649730873831919,4.220523179787078
5,10.732608908235942,4.875479658659019
5,13.587947974501235,3.039836059888878
5,15.796621005857089,2.110874016930402
6,1.181645222682606,0.0
6,1.5352179881092805,0.0
6,2.926675151151734,0.0
6,3.2366625317258912,1.4335878907968769
6,3.311853902474182,1.9862834508504017
6,3.722281739549265,1.9899233927527111
6,4.658681682819298,1.2282315038894849
6,4.73097603629497,3.370503460558014
6,5.015649718193148,3.8646222759198037
6,5.236585636616605,5.204811287315223
6,5.2496580242459565,5.292335595376995
6,7.496481560108184,3.481220775623216
6,9.00310091788831,3.014962843672767
